"activity" "subject" "V3"
"1" "WALKING" "21" "0.279264443728814"
"2" "WALKING" "21" "-0.0154259586949153"
"3" "WALKING" "21" "-0.108927011474576"
"4" "WALKING" "21" "0.960647754576271"
"5" "WALKING" "21" "-0.133922185084746"
"6" "WALKING" "21" "0.108738699508475"
"7" "WALKING" "21" "0.0652303740728813"
"8" "WALKING" "21" "0.0196712144372881"
"9" "WALKING" "21" "-0.00618305784355932"
"10" "WALKING" "21" "-0.00334085938813559"
"11" "WALKING" "21" "-0.0841507651508475"
"12" "WALKING" "21" "0.0851069247830508"
"13" "WALKING" "21" "-0.099411456038983"
"14" "WALKING" "21" "-0.0456538283033898"
"15" "WALKING" "21" "-0.0492240545355932"
"16" "WALKING" "21" "-0.223399171830508"
"17" "WALKING" "21" "-0.223399171830508"
"18" "WALKING" "21" "-0.290758024915254"
"19" "WALKING" "21" "-0.392092024067797"
"20" "WALKING" "21" "-0.51239882559322"
"21" "WALKING" "21" "-0.321959549661017"
"22" "WALKING" "21" "-0.146702156576271"
"23" "WALKING" "21" "-0.33953964559322"
"24" "WALKING" "21" "-0.299293909932203"
"25" "WALKING" "21" "-0.053962302640678"
"26" "WALKING" "21" "0.240364343627119"
"27" "WALKING" "21" "-0.36422676440678"
"28" "WALKING" "21" "-0.298531982474576"
"29" "WALKING" "21" "-0.398673189830508"
"30" "WALKING" "21" "-0.254935528889831"
"31" "WALKING" "21" "-0.408094837118644"
"32" "WALKING" "21" "-0.245889004932203"
"33" "WALKING" "21" "-0.368112905762712"
"34" "WALKING" "21" "-0.56182776559322"
"35" "WALKING" "21" "-0.318516813050847"
"36" "WALKING" "21" "-0.0837596098474576"
"37" "WALKING" "21" "0.132622788732203"
"38" "WALKING" "21" "-0.0631030040627119"
"39" "WALKING" "21" "-0.379836742711864"
"40" "WALKING" "21" "0.174398099661017"
"41" "WALKING" "21" "-0.293358341186441"
"42" "WALKING" "21" "0.0423616587694915"
"43" "WALKING" "21" "-0.551927613050847"
"44" "WALKING" "21" "0.220811667864407"
"45" "WALKING" "21" "-0.619461036101695"
"46" "WALKING" "21" "0.194215469318644"
"47" "WALKING" "21" "0.0467814119830509"
"48" "WALKING" "21" "-0.00473099461016949"
"49" "WALKING" "21" "-0.0325032479491525"
"50" "WALKING" "21" "-0.0281317273728813"
